# The sources-gate baseline (scripts/sources_gate.py).
#
# One row per (source, check) that the pre-existing vendored population does not yet satisfy, so
# the gate RATCHETS FORWARD instead of blocking every commit until someone audits all 27 sources
# at once. Exactly the shape scripts/derives_baseline.tsv and scripts/constructor_baseline.tsv use.
#
# A ROW IS AN ADMISSION THAT NOBODY HAS LOOKED. It is not a claim that the entry is fine, and it is
# not permission to add another. A NEW source gets no rows and must satisfy every check: sha256, an
# archive record, a scope, a slim record, a licence answer if it holds bytes, and for a claim a
# secondary witness beside the primary.
#
# Resolve a row by fixing the entry, then deleting the row. The gate reports a row whose source is
# gone, so the baseline cannot rot.
#
# source_id	check	classification	reason
bhac15	archive	archive-unreviewed	predates the sources gate; in_repo custody; classify when next touched
bhac15	scope	scope-unreviewed	predates the sources gate; in_repo custody; classify when next touched
bhac15	slim	slim-unreviewed	predates the sources gate; in_repo custody; classify when next touched
bhac15	licence	licence-unreviewed	predates the sources gate; in_repo custody; classify when next touched
byerlee_1978	archive	archive-unreviewed	predates the sources gate; in_repo custody; classify when next touched
byerlee_1978	scope	scope-unreviewed	predates the sources gate; in_repo custody; classify when next touched
byerlee_1978	slim	slim-unreviewed	predates the sources gate; in_repo custody; classify when next touched
convection_scaling.bodenschatz_pesch_ahlers_2000	licence-reason	licence-reason-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.bodenschatz_pesch_ahlers_2000	scope	scope-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.bodenschatz_pesch_ahlers_2000	slim	slim-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.foley_bercovici_2014	licence-reason	licence-reason-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.foley_bercovici_2014	scope	scope-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.foley_bercovici_2014	slim	slim-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.glomski_johnson_2012	licence-reason	licence-reason-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.glomski_johnson_2012	scope	scope-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.glomski_johnson_2012	slim	slim-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.komacek_abbot_2016	licence-reason	licence-reason-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.komacek_abbot_2016	scope	scope-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.komacek_abbot_2016	slim	slim-unreviewed	predates the sources gate; witness custody; classify when next touched
convection_scaling.ricard_geodynamics_notes	licence-reason	licence-reason-unreviewed	predates the sources gate; witness custody; classify when next touched
