#
#
#
#
# Classifications: accessor | constructor | derives | grandfathered | helper | loader | predicate
# One row per public function in the physics and materials substrate that does NOT carry a
# The derives-coverage baseline (scripts/derives_gate.py).
# `// @derives:` marker, with what it is instead. A function that DOES carry a marker needs no row:
# `grandfathered` means the function predates the gate and nobody has classified it yet. It is not a
# a marker instead of a row.
# claim that the function does not derive; it is an admission that no one has looked. Classify it
# file	function	classification	reason
# properly when the function is next touched, and if it turns out to derive a world quantity, give it
# the gate reads the marker directly, so the registry and this baseline cannot disagree.
crates/materials/src/assemblage.rs	at_equilibrium	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/assemblage.rs	competing_phases	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/assemblage.rs	departures	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/assemblage.rs	equilibrium_gap	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/assemblage.rs	equilibrium_phase	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/assemblage.rs	realize_assemblage	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/assemblage.rs	realize_exchange	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/atmosphere.rs	atmosphere_gas_equilibrium	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/atmosphere.rs	is_gas_phase	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/atmosphere.rs	parse_formula	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/band_gap.rs	admits_exponent	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/band_gap.rs	conduction_class_estimated	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/band_gap.rs	conduction_class_from_column	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/band_gap.rs	conduction_class_from_gap	grandfathered	predates the derives-coverage gate; unclassified
crates/materials/src/band_gap.rs	conduction_class_measured	grandfathered	predates the derives-coverage gate; unclassified
